"OBJECTID,N,9,0","Shape_Leng,N,19,11","Shape_Area,N,19,11","zone,C,254","LocationID,N,4,0","borough,C,254"
226,0.168957762041,0.00076194414504,Sunnyside,226,Queens
227,0.0828301570789,0.000268316529534,Sunset Park East,227,Brooklyn
228,0.177685177706,0.000993414783816,Sunset Park West,228,Brooklyn
229,0.0425252900116,0.0000947058230931,Sutton Place/Turtle Bay North,229,Manhattan
230,0.0310283096779,0.0000560914463266,Times Sq/Theatre District,230,Manhattan
231,0.0634201165587,0.000166929752992,TriBeCa/Civic Center,231,Manhattan
232,0.0614709085331,0.000216049973456,Two Bridges/Seward Park,232,Manhattan
233,0.048035918294,0.000116188094682,UN/Turtle Bay South,233,Manhattan
234,0.0360721994984,0.0000731054382894,Union Sq,234,Manhattan
235,0.0761668426519,0.000212844547337,University Heights/Morris Heights,235,Bronx
236,0.0442519223099,0.000102864345211,Upper East Side North,236,Manhattan
237,0.0422126003388,0.0000959873206621,Upper East Side South,237,Manhattan
238,0.0601093114033,0.000184763693765,Upper West Side North,238,Manhattan
239,0.0636261152958,0.000204715440774,Upper West Side South,239,Manhattan
240,0.146069764379,0.000722130920707,Van Cortlandt Park,240,Bronx
241,0.0687645777649,0.00025467697592,Van Cortlandt Village,241,Bronx
242,0.138136446433,0.000360072450014,Van Nest/Morris Park,242,Bronx
243,0.0943314999364,0.000438377341503,Washington Heights North,243,Manhattan
244,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan
245,0.0959830596604,0.000466175414294,West Brighton,245,Staten Island
246,0.0694671937437,0.000281298327076,West Chelsea/Hudson Yards,246,Manhattan
247,0.0929678582271,0.000205617157843,West Concourse,247,Bronx
248,0.0569191167671,0.000149592769799,West Farms/Bronx River,248,Bronx
249,0.03638434365,0.0000722155957729,West Village,249,Manhattan
250,0.0796263465454,0.000240975845956,Westchester Village/Unionport,250,Bronx
251,0.1377111611,0.000625754983157,Westerleigh,251,Staten Island
252,0.158004373564,0.00102526406057,Whitestone,252,Queens
253,0.0360514998192,0.0000783395761191,Willets Point,253,Queens
254,0.0858863754861,0.000360040216032,Williamsbridge/Olinville,254,Bronx
255,0.0623841997664,0.000172309184842,Williamsburg (North Side),255,Brooklyn
256,0.0679149669603,0.000168611097013,Williamsburg (South Side),256,Brooklyn
257,0.0586690259793,0.00013890947321,Windsor Terrace,257,Brooklyn
258,0.0890133787693,0.000366209617143,Woodhaven,258,Queens
259,0.126750305191,0.000394552487366,Woodlawn/Wakefield,259,Bronx
260,0.133514154636,0.000422345326907,Woodside,260,Queens
261,0.0271204563616,0.0000343423231652,World Trade Center,261,Manhattan
262,0.0490636231541,0.000122330270966,Yorkville East,262,Manhattan
263,0.0370166252994,0.0000657697664169,Yorkville West,263,Manhattan
